sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_price,sell_price,sell_price_credit
,078000152463,Canada Dry Ginger Ale (2 L),,grocery,Soda,,,,,,Scarbro Mart Inventory,,4.44,
,079298000191,Évian Natural Spring Water (0.5 L),,grocery,Still Water,,,,,,Scarbro Mart Inventory,,1.5,
,083900003852,Nestea Lemon Iced Tea (355 ml),,grocery,Tea,,,,,,Scarbro Mart Inventory,,1.33,
,40000004453,Twix Chocolate Bar (1.76 oz),,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,1.99,
,4118712,Tic Tac Original White Mints (29 g),,grocery,Gum & Mints,,,,,,Scarbro Mart Inventory,,2.25,
,4800024576040,Del Monte Mango Nectar (1 L),,grocery,Juice,,,,,,Scarbro Mart Inventory,,3.5,
,57483015503,Sunny D Tangy Original Juice (500 ml),,grocery,Juice,,,,,,Scarbro Mart Inventory,,1.99,
,57483015527,Sunny D Orange Strawberry Juice (500 ml),,grocery,Juice,,,,,,Scarbro Mart Inventory,,1.99,
,59800000116,Aero Original Chocolate,,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,2.21,
,613008718763,AriZona Fruit Punch (680 ml),,grocery,Juice,,,,,,Scarbro Mart Inventory,,2.43,
,613008720209,AriZona Watermelon Bottled Tea (680 ml),,grocery,Tea,,,,,,Scarbro Mart Inventory,,2.66,
,613008766740,AriZona Green Tea (680 ml),,grocery,Tea,,,,,,Scarbro Mart Inventory,,3.31,
,620154112994,Medium Spicy Beef Patty,,grocery,Beef,,,,,,Scarbro Mart Inventory,,2.21,
,632565000029,FIJI Water (500 ml),,grocery,Still Water,,,,,,Scarbro Mart Inventory,,2.5,
,64900000516,Skittles Original Bite Size Candies (191 g),,grocery,Fruity,,,,,,Scarbro Mart Inventory,,4.99,
,67000003666,Sprite (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,689822939677,Pringles Pizza Potato Chips (156 g),,grocery,Chips,,,,,,Scarbro Mart Inventory,,4.99,
,721864862039,Kinder Surprise Egg,,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,2.25,
,811955011016,Aloe Vera Original Drink (500 ml),,grocery,Juice,,,,,,Scarbro Mart Inventory,,3.31,
,812475012255,Aloe Vera Mango Juice (500 ml),,grocery,Juice,,,,,,Scarbro Mart Inventory,,3.31,
,8801073113428,Buldak Spicy Chicken Flavor Instant Noodles (140 g),,other,Easy Heat,,,,,,Scarbro Mart Inventory,,3.49,
,056327004948,Rickard's Red Ale (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.99,
,062067382178,Stella Artois (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.49,
,062067382161,Stella Artois (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,20.89,
,062067382345,Corona Extra Lager (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,22.49,
,702915003014,Steam Whistle Pilsner (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.89,
,,Heineken Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.49,
,,Heineken Lager (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,20.79,
,062067333538,Labatt Maximum Ice (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,062067567353,Bud Light (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,062067567384,Bud Light (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.79,
,776029701548,Moosehead Lager (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.99,
,776029703092,Moosehead Lager (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,17.89,
